Date,Close,High,Low,Open,Volume,Retorno_Diario,SMA_10,SMA_30,RSI_14,Media_Bollinger_20,Desvio_Bollinger_20,Bollinger_Superior,Bollinger_Inferior,Preco_Amanha,Alvo_IA
2020-02-12,8.394508361816406,8.436300233650089,8.255203539452733,8.257989699668693,64851000,0.022049179414201703,8.064075613021851,8.228733777999878,53.85854439124826,8.112414288520814,0.1660645595295348,8.444543407579884,7.780285169461744,8.280277252197266,0
2020-02-13,8.280277252197266,8.41679589459671,8.257988505099512,8.294208051261892,55277100,-0.013607837969253467,8.085807085037231,8.21963251431783,53.343932858455304,8.115200400352478,0.16849465152103957,8.452189703394557,7.778211097310399,8.19669246673584,0
2020-02-14,8.19669246673584,8.34714133794267,8.174403725393883,8.319280809819356,30399900,-0.010094442844802765,8.112832069396973,8.210066843032838,63.088414212825604,8.109210276603699,0.16300183032306903,8.435213937249838,7.783206615957561,8.179978370666504,0
2020-02-17,8.179978370666504,8.294208268966479,8.166047571236225,8.25520256196736,38684900,-0.0020391268962652864,8.145708084106445,8.196600770950317,56.08703249036464,8.100294852256775,0.15324586732523712,8.40678658690725,7.793803117606301,8.28863525390625,1
2020-02-18,8.28863525390625,8.294207573210931,8.06574779577522,8.096394489139726,33890900,0.013283272683139558,8.176912403106689,8.187871058781942,59.10932149930649,8.10210587978363,0.15533794781057142,8.412781775404774,7.791429984162487,8.511523246765137,1
2020-02-19,8.511523246765137,8.511523246765137,8.291421934458803,8.322069161154309,44181800,0.026890795170875004,8.237092113494873,8.188335434595745,64.24774562749084,8.119658255577088,0.18013467264905966,8.479927600875207,7.759388910278968,8.335997581481934,0
2020-02-20,8.335997581481934,8.606248647977376,8.288633937724429,8.581173746493667,73522900,-0.020622121351770106,8.257709217071532,8.18387770652771,62.694245480281374,8.123419404029846,0.18398047072076631,8.491380345471379,7.755458462588313,8.118681907653809,0
2020-02-21,8.118681907653809,8.269131315849943,8.08803521929964,8.221767672314739,47805100,-0.026069546170560676,8.263560009002685,8.173383378982544,57.61899168783744,8.121190428733826,0.18374226085471404,8.488674950443254,7.753705907024398,7.302356243133545,0
2020-02-26,7.302356243133545,7.6311156058343474,7.25220696919077,7.5336026858854295,89207100,-0.10054903909348645,8.182206010818481,8.135120932261149,36.21868274664783,8.095836925506593,0.2515111909060139,8.59885930731862,7.592814543694565,7.048823356628418,0
2020-02-27,7.048823356628418,7.391513602002852,6.9345934519721695,7.165839421325756,100112100,-0.03471932593586158,8.065747404098511,8.091472148895264,33.650818815788284,8.047080373764038,0.34377363970991365,8.734627653183866,7.3595330943442105,7.059967041015625,1
2020-02-28,7.059967041015625,7.1212609594045775,6.859368327865361,7.009817229876654,89095300,0.001580928308655638,7.932293272018432,8.052373949686686,27.931079373665284,7.998184442520142,0.40858664860978383,8.81535773973971,7.181011145300574,7.391512393951416,1
2020-03-02,7.391512393951416,7.452806310620595,7.098972014317337,7.104544333488792,71596400,0.04696131738429421,7.843416786193847,8.024605862299602,37.5519016401958,7.964611935615539,0.4300079832953174,8.824627902206174,7.1045959690249045,7.2577805519104,0
2020-03-03,7.2577805519104,7.65619240250905,7.176984036621509,7.402657685110944,86855700,-0.018092622309671125,7.7495255947113035,7.989315382639567,34.47584375747218,7.9311788320541385,0.4582017889508261,8.847582409955791,7.014775254152486,7.491812705993652,1
2020-03-04,7.491812705993652,7.505743506198249,7.310716554579431,7.4973850260754915,42320500,0.032245691697257106,7.680709028244019,7.96043291091919,37.56007880568101,7.913208556175232,0.46843631180175876,8.85008117977875,6.976335932571715,7.046036243438721,0
2020-03-05,7.046036243438721,7.430517214204781,6.884442183536453,7.335789918388903,69722300,-0.05950181618906447,7.556449127197266,7.920220295588176,28.697151548248968,7.866680765151978,0.5064786913088712,8.87963814776972,6.853723382534236,6.360655307769775,0
2020-03-06,6.360655307769775,6.722847470491584,6.282644451018015,6.714489525007618,138597600,-0.09727184362799346,7.341362333297729,7.8602262814839685,24.310187638228896,7.789227223396301,0.6078508898431146,9.00492900308253,6.573525443710071,4.471683502197266,0
