Date,Close,High,Low,Open,Volume,Retorno_Diario,SMA_10,SMA_30,RSI_14,Media_Bollinger_20,Desvio_Bollinger_20,Bollinger_Superior,Bollinger_Inferior,Preco_Amanha,Alvo_IA,Sinal_IA,Probabilidade_Alta
2025-02-24,33.20956802368164,33.54932960874535,32.93078911679312,33.54061922185177,27830300,-0.0070329126854651,32.787040901184085,32.461507924397786,62.531690447187096,32.545286655426025,0.6207612966882325,33.78680924880249,31.30376406204956,33.061466217041016,0,0,0.3372516450882169
2025-02-25,33.061466217041016,33.48834493887912,32.956924964002,33.20956604857074,31960900,-0.0044596125590978,32.884613609313966,32.49432258605957,64.15584678777171,32.58100538253784,0.6292514643359934,33.839508311209826,31.32250245386585,33.061466217041016,0,0,0.3503496369863582
2025-02-26,33.061466217041016,33.32282101129181,32.88722857977165,33.32282101129181,27420200,0.0,33.03010158538818,32.513488642374675,65.34396894568232,32.62674283981323,0.6292681078032224,33.88527905541968,31.36820662420679,31.89407539367676,0,0,0.38572623350888363
2025-02-27,31.89407539367676,32.00733034583738,30.909635659709316,31.676279198225053,129693500,-0.0353097111816095,33.05536594390869,32.50071137746175,50.30550868238448,32.59276657104492,0.6502824669092,33.89333150486332,31.29220163722652,31.30167007446289,0,0,0.2621321925845102
2025-02-28,31.30167007446289,31.841803718981136,31.19712882917368,31.789534757989667,55476800,-0.0185741493334312,32.923817253112794,32.46383126576742,41.57300329122901,32.516102409362794,0.7080442419558811,33.93219089327456,31.100013925451037,30.160415649414062,0,0,0.31437696560648093
2025-03-05,30.160415649414062,30.58729764674013,30.09943298169693,30.50889088491722,48552000,-0.0364598573281848,32.65810565948486,32.38629563649496,33.383420022221785,32.39065170288086,0.8806755647419094,34.15200283236468,30.62930057339704,29.84678840637207,0,0,0.358176905095891
2025-03-06,29.84678840637207,30.5960078314758,29.646416310429046,30.325942682872917,47749600,-0.0103986379593573,32.30091934204101,32.29801546732585,34.36528698057924,32.26563653945923,1.0486323606917234,34.36290126084268,30.168371818075784,30.16913414001465,1,0,0.46199035077914197
2025-03-07,30.16913414001465,30.430488946414435,29.82065884927715,29.87293113987978,28074700,0.0108000140334616,31.968998146057128,32.22657845815023,37.55529042914676,32.16849956512451,1.1488193979218626,34.46613836096824,29.87086076928079,30.160415649414062,0,1,0.5476611980473088
2025-03-10,30.160415649414062,30.160415649414062,29.620282025359693,30.12557078450866,35037200,-0.0002889871005287,31.630978202819826,32.162401008605954,25.17615133656109,32.07397594451904,1.2336468918467096,34.54126972821246,29.60668216082562,29.707399368286133,0,1,0.5643071553979166
2025-03-11,29.707399368286133,30.40434984388376,29.541875458150088,30.273670798882662,28805400,-0.015020226723458,31.25723991394043,32.08864053090414,20.100578801307933,31.96594896316528,1.3424377926241404,34.65082454841356,29.281073377917,29.707399368286133,0,1,0.5776423028303473
2025-03-12,29.707399368286133,29.968757458288326,29.5854340320484,29.759671650947805,20149100,0.0,30.90702304840088,31.999198786417644,9.659167946731287,31.84703197479248,1.433518250188668,34.71406847516982,28.979995474415144,30.00360679626465,1,1,0.6125563098900145
2025-03-13,30.00360679626465,30.090727280355075,29.65513482982292,29.777100184242855,19263600,0.0099708299708902,30.601237106323243,31.92108262379964,13.899063983496006,31.742925357818603,1.489771943427345,34.72246924467329,28.763381470963918,30.92706298828125,1,1,0.565207945563296
2025-03-14,30.92706298828125,31.153569592982794,29.942623151367872,30.142995273340237,41529400,0.0307781727139409,30.387796783447264,31.880427487691243,27.06432982012886,31.70894918441773,1.5007532131324952,34.710455610682715,28.707442758152737,31.502046585083008,1,1,0.5047481792140349
2025-03-17,31.502046585083008,31.71984281515778,31.01418183332509,31.02289554357985,31175900,0.0185916004057555,30.34859390258789,31.84470901489258,34.2737312178039,31.70197992324829,1.501406754476308,34.70479343220091,28.699166414295675,31.528175354003903,1,0,0.4846958840189311
2025-03-18,31.528175354003903,31.719837065184628,31.284244683996537,31.528175354003903,15086400,0.0008294308387337,30.371244430541992,31.801149749755854,35.91240618444374,31.647530841827397,1.486139249951037,34.619809341729464,28.67525234192532,31.502046585083008,0,0,0.49253170105510763
2025-03-19,31.502046585083008,31.65014974965335,31.38879161491824,31.597877458044984,21180500,-0.0008287434533562,30.50540752410889,31.762236976623534,36.66173867592168,31.581756591796875,1.460521291645152,34.502799175087176,28.66071400850657,31.571741104125977,1,0,0.4892149216418057
2025-03-20,31.571741104125977,31.780823611563527,31.1535694426378,31.502044719442434,46921900,0.0022123806735772,30.67790279388428,31.73639195760091,37.40798767135433,31.48941106796265,1.3951926789687714,34.27979642590019,28.699025710025104,32.05959701538086,1,0,0.4804994962699354
2025-03-21,32.05959701538086,32.259969102084405,31.519463419775388,31.554311606151472,61175700,0.0154522967119836,30.8669490814209,31.73464940388997,51.58066487781941,31.41797361373901,1.322119394503161,34.06221240274534,28.77373482473269,32.01604461669922,0,0,0.46527763313812476
2025-03-24,32.01604461669922,32.18156854893939,31.79824839481691,31.97248603698408,20348000,-0.0013584824120136,31.05251197814941,31.733487955729167,57.62085715982932,31.34174509048462,1.2343304287763357,33.81040594803729,28.873084232931948,32.26868438720703,1,0,0.4518037245263773
